,objectId,location,cityId,name,population,createdAt,updatedAt
0,WrTjJLmvV5,"{'__type': 'GeoPoint', 'latitude': 46.91562, 'longitude': 37.09961}",505257,Urzuf,2904,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
1,mWzfykE61J,"{'__type': 'GeoPoint', 'latitude': 48.0114, 'longitude': 38.26444}",686818,Zuhres,19121,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
2,m6UGcfy7M7,"{'__type': 'GeoPoint', 'latitude': 49.80597, 'longitude': 24.89436}",686896,Zolochiv,22608,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
3,RdvzwG5b8J,"{'__type': 'GeoPoint', 'latitude': 49.38468, 'longitude': 24.14254}",618835,Zhydachiv,0,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
4,EFYhjj4o0L,"{'__type': 'GeoPoint', 'latitude': 45.69028, 'longitude': 33.52775}",686748,Kovyl’noye,783,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
5,ckdJOnvbAn,"{'__type': 'GeoPoint', 'latitude': 48.63013, 'longitude': 37.55259}",616743,Druzhkivka,62315,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
6,crxlNUM0gC,"{'__type': 'GeoPoint', 'latitude': 49.66832, 'longitude': 32.04047}",686875,Zolotonosha,27722,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
7,YfAQHRDvhz,"{'__type': 'GeoPoint', 'latitude': 50.23154, 'longitude': 24.37701}",616196,Staryy Dobrotvir,6436,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
8,xjCvK2ClGL,"{'__type': 'GeoPoint', 'latitude': 49.91978, 'longitude': 23.72913}",686762,Ivano-Frankove,6223,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
9,WDZKLDTExW,"{'__type': 'GeoPoint', 'latitude': 47.43694, 'longitude': 35.27417}",686729,Vasylivka,15012,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
10,iYbmeG6hgI,"{'__type': 'GeoPoint', 'latitude': 48.41194, 'longitude': 38.62361}",686852,Zoryns’k,7532,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
11,Bc4AS0rviV,"{'__type': 'GeoPoint', 'latitude': 50.58518, 'longitude': 34.4849}",613273,Lebedyn,27695,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
12,ra3mxi7FYT,"{'__type': 'GeoPoint', 'latitude': 45.38333, 'longitude': 32.53333}",461727,Olenevka,1441,2019-12-14T02:09:22.993Z,2019-12-14T02:09:22.993Z
13,edNUY8eUJM,"{'__type': 'GeoPoint', 'latitude': 45.05418, 'longitude': 34.32152}",686812,Zuya,6230,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
14,6dYb9aWGir,"{'__type': 'GeoPoint', 'latitude': 45.23674, 'longitude': 34.64987}",686778,Zybiny,1220,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
15,AYa5fPelym,"{'__type': 'GeoPoint', 'latitude': 45.54762, 'longitude': 34.71028}",686850,Zorkino,1099,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
16,NQkBqzWugT,"{'__type': 'GeoPoint', 'latitude': 49.07866, 'longitude': 30.96755}",686803,Zvenihorodka,19161,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
17,Y9obyi8a5g,"{'__type': 'GeoPoint', 'latitude': 45.12774, 'longitude': 34.99148}",686866,Zolotoye Pole,2543,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
18,WjO8FVDuH5,"{'__type': 'GeoPoint', 'latitude': 50.27985, 'longitude': 35.98179}",686895,Zolochiv,11160,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
19,LOOuSVLD1W,"{'__type': 'GeoPoint', 'latitude': 48.9095, 'longitude': 25.33926}",686863,Zolotyy Potik,2343,2019-12-14T02:09:22.994Z,2019-12-14T02:09:22.994Z
20,ScS0GPJcid,"{'__type': 'GeoPoint', 'latitude': 48.71278, 'longitude': 32.66472}",686919,Znomenka,28318,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
21,ZUs4tqJX8Z,"{'__type': 'GeoPoint', 'latitude': 45.12629, 'longitude': 35.21513}",687005,Zhuravki,2666,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
22,PqgKVIvzqM,"{'__type': 'GeoPoint', 'latitude': 48.48521, 'longitude': 31.53906}",686932,Zlynka,4981,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
23,aq1Wqhh2Kj,"{'__type': 'GeoPoint', 'latitude': 48.54968, 'longitude': 26.48744}",686970,Zhvanets,1529,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
24,W1ZEodFaFL,"{'__type': 'GeoPoint', 'latitude': 49.67453, 'longitude': 36.34775}",686928,Zmiyiv,16095,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
25,e8XkRFh6pM,"{'__type': 'GeoPoint', 'latitude': 50.26487, 'longitude': 28.67669}",686967,Zhytomyr,282192,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
26,70zYffpCtT,"{'__type': 'GeoPoint', 'latitude': 45.27466, 'longitude': 34.65778}",687190,Zhemchuzhina,971,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
27,U0QjDhDCxJ,"{'__type': 'GeoPoint', 'latitude': 44.59583, 'longitude': 34.00921}",687379,Zelyonoye,280,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
28,8rLhuUCpjV,"{'__type': 'GeoPoint', 'latitude': 50.50276, 'longitude': 31.78492}",687277,Zgurovka,6369,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
29,lkdeVot71S,"{'__type': 'GeoPoint', 'latitude': 50.48108, 'longitude': 32.5949}",687009,Zhuravka,2900,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
30,e45DUJAykm,"{'__type': 'GeoPoint', 'latitude': 50.66365, 'longitude': 24.24918}",687065,Blahodatne,4652,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
31,kcvArWvhlB,"{'__type': 'GeoPoint', 'latitude': 45.50797, 'longitude': 33.51431}",686963,Zimino,1000,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
32,2ZYe5Y1Ijh,"{'__type': 'GeoPoint', 'latitude': 49.24545, 'longitude': 30.1102}",687245,Zhashkiv,15264,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
33,GPZsaPO1C5,"{'__type': 'GeoPoint', 'latitude': 50.20806, 'longitude': 34.36376}",687292,Zin’kiv,10393,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
34,6YoYuw5NPv,"{'__type': 'GeoPoint', 'latitude': 49.03705, 'longitude': 28.11201}",687116,Zhmerynka,35960,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
35,vlxVo164Wb,"{'__type': 'GeoPoint', 'latitude': 50.05825, 'longitude': 23.9726}",687093,Zhovkva,12973,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
36,cH1p8VWqYA,"{'__type': 'GeoPoint', 'latitude': 45.32364, 'longitude': 34.48099}",687284,Zernovoye,1023,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
37,lWbEfG9UKj,"{'__type': 'GeoPoint', 'latitude': 45.39877, 'longitude': 34.75776}",687191,Zhelyabovka,2669,2019-12-14T02:09:25.531Z,2019-12-14T02:09:25.531Z
