,name,population,latitude,longitude
0,urzuf,2904,46.91562,37.09961
1,zuhres,19121,48.0114,38.26444
2,zolochiv,22608,49.80597,24.89436
3,zhydachiv,0,49.38468,24.14254
4,kovyl’noye,783,45.69028,33.52775
5,druzhkivka,62315,48.63013,37.55259
6,zolotonosha,27722,49.66832,32.04047
7,staryy dobrotvir,6436,50.23154,24.37701
8,ivano-frankove,6223,49.91978,23.72913
9,vasylivka,15012,47.43694,35.27417
10,zoryns’k,7532,48.41194,38.62361
11,lebedyn,27695,50.58518,34.4849
12,olenevka,1441,45.38333,32.53333
13,zuya,6230,45.05418,34.32152
14,zybiny,1220,45.23674,34.64987
15,zorkino,1099,45.54762,34.71028
16,zvenihorodka,19161,49.07866,30.96755
17,zolotoye pole,2543,45.12774,34.99148
18,zolochiv,11160,50.27985,35.98179
19,zolotyy potik,2343,48.9095,25.33926
20,znomenka,28318,48.71278,32.66472
21,zhuravki,2666,45.12629,35.21513
22,zlynka,4981,48.48521,31.53906
23,zhvanets,1529,48.54968,26.48744
24,zmiyiv,16095,49.67453,36.34775
25,zhytomyr,282192,50.26487,28.67669
26,zhemchuzhina,971,45.27466,34.65778
27,zelyonoye,280,44.59583,34.00921
28,zgurovka,6369,50.50276,31.78492
29,zhuravka,2900,50.48108,32.5949
30,blahodatne,4652,50.66365,24.24918
31,zimino,1000,45.50797,33.51431
32,zhashkiv,15264,49.24545,30.1102
33,zin’kiv,10393,50.20806,34.36376
34,zhmerynka,35960,49.03705,28.11201
35,zhovkva,12973,50.05825,23.9726
36,zernovoye,1023,45.32364,34.48099
37,zhelyabovka,2669,45.39877,34.75776
38,zemlyanichnoye,660,44.97444,34.83553
39,zhovti vody,51559,48.34493,33.50374
40,zelenogorskoye,1877,45.01249,34.46848
41,zavetnoye,1628,45.32697,34.80837
42,zavallya,5010,48.21354,30.01558
43,zavetnoye,1175,45.12305,36.39965
44,zarichchya,3832,48.52144,24.64857
45,karolino-buhaz,2241,46.14492,30.52609
46,zavet-leninskiy,2222,45.86258,34.3916
47,zdovbytsya,4858,50.49607,26.24111
48,zdolbuniv,23697,50.5206,26.24251
49,zboriv,7159,49.66484,25.14097
50,zatyshshya,3900,47.33351,29.87327
51,zatoka,1391,46.07251,30.46538
52,zbarazh,12736,49.66357,25.77616
53,zastavna,8536,48.52307,25.84369
54,zorya,5243,45.9908,29.69672
55,zarichne,6671,51.8126,26.12902
56,zarechnoye,2022,44.85048,34.26426
57,zaozyornoye,4332,45.15816,33.27866
58,zaporizhia,796217,47.82289,35.19031
59,zarechnoye,1820,45.73636,34.48345
60,zheleznyy port,1528,46.11667,32.28333
61,zaliznychne,3343,45.7489,28.61466
62,zahvizdya,3546,48.91836,24.65275
63,zaliznychne,1206,47.65238,36.16524
64,zalesnoye,2539,48.03104,38.80934
65,yur”yivka,0,48.73748,36.01987
66,zachepylivka,4217,49.19385,35.23943
67,yurkivka,2887,49.01256,31.10125
68,zakupne,1398,49.11944,26.33756
69,yevpatoriya,106202,45.20091,33.36655
70,yuzhne,25000,46.62211,31.10131
71,zagnitkiv,4000,48.04878,28.89234
72,zaliztsi,2612,49.79188,25.37297
73,yemil’chyne,0,50.87349,27.80604
74,zabolotiv,4029,48.47054,25.28571
75,yemelyanovka,1374,45.53287,34.89624
76,zalishchyky,9749,48.64331,25.73794
77,yerky,4159,48.99062,30.98818
78,yenakiyeve,104101,48.23331,38.21137
79,yermakovo,909,45.85364,34.48644
80,yasinya,7708,48.27937,24.36042
81,yavoriv,13008,49.93864,23.38254
82,l’govskoye,1605,45.09801,34.9577
83,yelanets’,0,47.69682,31.85253
84,yarkoye,1807,45.6912,34.26323
85,yampil’,0,48.2424,28.28195
86,yelyzavethradka,1673,48.80381,32.4046
87,yamnytsya,3223,48.98972,24.7075
88,yarmolyntsi,8583,49.19236,26.83725
89,yaremche,7558,48.45157,24.55436
90,yarkoye pole,948,45.61293,34.31834
91,yalta,5519,46.96279,37.27365
92,yalta,77003,44.50218,34.16624
93,yabluniv,1798,48.40418,24.93874
94,vyshchetarasivka,3651,47.56851,34.88096
95,yasynuvata,37600,48.1298,37.8594
96,yahil’nytsya,1314,48.94248,25.74375
97,yampil’,7200,51.94765,33.78759
98,yablunytsya,1986,48.31742,24.48448
99,yahotyn,22779,50.27975,31.76246
100,vysokyy,10988,49.89156,36.12175
101,vradiyivka,9578,47.86195,30.59195
102,dneprovka,2068,45.71373,34.36256
103,vvedenka,2628,49.82372,36.50264
104,vylkove,8916,45.40214,29.58595
105,voykovo,1694,45.51222,33.87482
106,voznesenka,4917,46.87165,35.46458
107,voykovo,4284,45.38329,36.43739
108,vyshhorod,22080,50.58476,30.4898
109,vyshkovo,7838,48.04911,23.42113
110,voyutychi,2099,49.55135,23.10579
111,vylok,3292,48.10915,22.83865
112,voronkov,4000,50.22235,30.89967
113,voronovytsya,6389,49.10954,28.68078
114,vorozhba,7915,51.17334,34.21917
115,vysokopillya,4542,47.49187,33.53061
116,vorokhta,3853,48.28459,24.56536
117,vynohradiv,27600,48.14135,23.02666
118,voznesensk,42248,47.56494,31.33078
119,vorzel’,8500,50.5444,30.15305
120,volovets,5177,48.7109,23.1851
121,vovchans’k,19486,50.29078,36.94108
122,volnovakha,23731,47.60103,37.49674
123,volodarka,7355,49.52484,29.91222
124,voloka,2915,48.19225,25.93074
125,volodars’ke,0,47.20533,37.32139
126,khoroshiv,0,50.59764,28.443
127,vodyane,5685,47.48746,34.49235
128,vorobyovo,1085,45.32895,33.24654
129,vil’ne,5432,47.63645,34.81387
130,volodymyr-volynskyi,38256,50.85253,24.32364
131,volochysk,0,49.53748,26.21568
132,voinka,4089,45.8699,33.99138
133,volodymyrets’,8537,51.4213,26.14469
134,vishennoye,1753,45.14509,34.59691
135,vladislavovka,3324,45.16828,35.37658
136,vyshneve,2467,48.43611,33.91556
137,vyshneve,33183,50.38913,30.3705
138,vyzhnytsya,4834,48.24801,25.19452
139,vishnyovka,995,45.95966,33.95289
140,vinogradnoye,1044,45.29332,35.84451
141,verkhovyna,5290,48.15571,24.79112
142,veseloye,1675,44.85807,34.87952
143,verchnia rozhanka,1134,48.7805,23.51545
144,vinogradovo,881,45.39264,33.64668
145,vinkivtsi,0,49.03462,27.23617
146,vynohradivka,3110,45.68119,28.57138
147,vinogradnoye,1494,44.48149,34.12973
148,vynohradove,4422,46.36957,32.9398
149,vilino,6960,44.8456,33.67161
150,verkhniachka,4130,48.82849,30.03957
151,veselynove,6997,47.35666,31.23488
152,vinnytsia,352115,49.23278,28.48097
153,vil’nyans’k,0,47.94381,35.43539
154,verkhorechye,1126,44.69738,33.98696
155,verkhnya syrovatka,3669,50.82902,34.95861
156,vesele,10683,47.01479,34.91504
157,veselovka,1390,45.37733,33.21385
158,verkhniy yasenov,1205,48.16156,24.94532
159,verkhnyaya belka,1508,49.81575,24.30328
160,verkhnie synevydne,3555,49.10307,23.59099
161,verkhniy rohachyk,6557,47.25053,34.33797
162,verkhn’odniprovs’k,0,48.65242,34.33457
163,velykoploske,3192,47.01254,29.67171
164,verblyany,2000,50.04747,23.42189
165,veresayevo,1708,45.30551,33.50004
166,verbivka,3377,49.41667,35.53333
167,verkhnesadovoye,2331,44.68932,33.70207
168,vendychany,4182,48.61176,27.79324
169,velikiye borki,3141,49.52363,25.75753
170,velykyy klyuchiv,3290,48.47092,24.94677
171,velyki sorochyntsi,4050,50.02314,33.94144
172,velykyi bereznyi,7078,48.88831,22.46052
173,verenchanka,3560,48.54653,25.74533
174,velyki kopani,5464,46.48684,32.97498
175,velyka pysarivka,5235,50.4243,35.47989
176,velyka novosilka,0,47.84531,36.83534
177,velyka mykhaylivka,5777,47.07971,29.85753
178,velyka lepetykha,9511,47.17572,33.94362
179,velykyy burluk,4821,50.0617,37.38373
180,velyka dymerka,9606,50.59333,30.90313
181,velyka bilozerka,3511,47.27756,34.70616
182,velyka oleksandrivka,7281,47.31969,33.30373
183,vasilyevka,1331,45.13938,34.72291
184,velyka bahachka,5707,49.79116,33.72258
185,vapnyarka,8443,48.53479,28.74358
186,vasyshcheve,5862,49.82852,36.32691
187,uzhgorod,117878,48.61667,22.3
188,batiovo,3046,48.36166,22.3997
189,vasylkiv,39700,50.18693,30.31346
190,varvarivka,1912,49.53786,35.20086
191,vatutine,19407,49.01502,31.06211
192,vary,2998,48.12207,22.71281
193,vasyl’kivka,0,48.20698,36.02365
194,vashkivtsi,5764,48.38491,25.51023
195,uyutnoye,4745,45.19769,33.29796
196,valky,10099,49.83597,35.61223
197,varva,8549,50.49503,32.71968
198,uvarovo,855,45.2626,35.66506
199,uzyn,12726,49.82619,30.41487
200,uspenka,9400,48.39077,39.16284
201,utkivka,1272,49.78583,36.07528
202,uralo-kavkaz,3033,48.3211,39.80302
203,usatove,7732,46.53296,30.6596
204,urozhaynoye,1119,45.33625,35.06865
205,blahovishchens’ke,0,48.33105,30.22702
206,ustynivka,4003,47.95507,32.53674
207,uman’,87658,48.74838,30.22184
208,ulaniv,3038,49.69512,28.13298
209,ulychne,3671,49.23385,23.65111
210,ukromnoye,4567,45.04272,34.00312
